id T gl  nm	tnm	ns	tns	LB	HLDA	RLDA	MaxA	Med	DP
bk 5 1  1000	3.05	1000	3.05	8896.66	0.98	0.97	1.1	1	0.031
bk 5 2  17924	89.21	8888	44.2367	4448.33	0.59	0.21	2.3	0.71	0.52
c1 5 1  1000	3.04	1000	3.04	5563.35	0.065	0.053	0.082	0.065	0.0075
c1 5 2  8262	37.9051	4123	18.9159	2781.67	0.036	1e-06	1.1	0.16	0.35
c2 6 1  1000	8.27	1000	8.27	5927.85	0.17	0.095	0.18	0.13	0.026
c2 6 2  6457	67.179	3450	35.894	2963.93	1e-06	1e-06	1.2	0.13	0.31
c2 6 3  13759	148.451	6606	71.2746	1975.95	0.16	1e-06	2.2	0.24	0.46
c3 7 1  1000	19.16	1000	19.16	7263.71	0.1	0.065	0.14	0.1	0.014
c3 7 2  3994	85.9476	2170	46.6966	3631.85	1	1e-06	1.2	0.088	0.25
c3 7 3  7830	174.039	3857	85.7306	2421.24	2	1e-06	2.1	0.14	0.35
c4 8 1  1000	41.74	1000	41.74	8149.84	0.13	0.097	0.17	0.13	0.014
c4 8 2  3655	186.255	1895	96.5673	4074.92	1e-06	1e-06	1.2	0.075	0.24
c4 8 3  7905	415.626	3773	198.375	2716.61	1e-06	1e-06	2.1	0.13	0.34
c4 8 4  7587	404.479	3712	197.895	2037.46	1e-06	1e-06	3.2	0.18	0.34
c5 4 1  1000	1.1	1000	1.1	4196.12	0.03	0.026	0.037	0.031	0.0034
c5 4 2  13912	33.1366	6927	16.4992	2098.06	1e-06	1e-06	1.1	0.35	0.46
