SR T Gl W HmDs	HmUBp	HmaxUB  	TrDs	TrUBp	TrUB    	TIFgap	LimCIPF	Time	STATUS
bk 5 2  1 0.500	1.446	6433.653	0.500	1.267	18088.045	0.400	103.377	0.030	infeasible
c1 5 1  1 1.500	1.054	5862.493	1.500	1.966	16654.977	0.400	60.615	0.030	infeasible
c1 5 2  1 0.000	1.159	3223.783	0.500	2.136	5774.066	0.400	60.615	0.020	infeasible
c2 6 1  1 1.000	1.106	6558.155	1.500	1.903	24600.860	0.400	69.328	13.290	infeasible
c2 6 2  1 0.000	1.133	3358.841	1.500	1.809	7092.237	0.400	69.328	1.110	infeasible
c2 6 3  1 0.500	1.013	2001.908	1.000	1.932	4568.512	0.400	69.328	0.060	infeasible
c3 7 1  1 2.000	1.072	7783.777	2.000	1.822	35385.692	0.400	74.755	54.940	infeasible
c3 7 2  1 0.000	1.088	3949.695	2.000	1.819	9624.524	0.400	74.755	0.090	infeasible
c3 7 3  1 0.000	1.143	2767.545	1.000	1.868	6871.539	0.400	74.755	0.080	infeasible
c4 8 2  1 0.000	1.075	4379.452	1.500	1.967	15137.350	0.400	80.843	173.290	infeasible
c4 8 3  1 0.000	1.130	3071.084	1.000	2.008	9980.912	0.400	80.843	4.610	infeasible
c4 8 4  1 0.500	1.009	2055.788	1.000	2.036	7194.005	0.400	80.843	0.090	infeasible
c5 4 1  1 1.500	1.026	4306.031	1.000	1.918	8555.209	0.400	51.954	0.000	infeasible
c5 4 2  1 0.500	1.122	2353.078	0.500	2.079	2990.502	0.400	51.954	0.020	infeasible
c1 5 1  2 1.500	1.054	5862.493	1.500	1.966	16654.977	0.400	60.615	6.000	infeasible
c1 5 2  2 0.000	1.159	3223.783	0.500	2.136	5774.066	0.400	60.615	2.470	infeasible
c2 6 2  2 0.000	1.133	3358.841	1.500	1.809	7092.237	0.400	69.328	40.000	infeasible
c2 6 3  2 0.500	1.013	2001.908	1.000	1.932	4568.512	0.400	69.328	20.010	infeasible
c3 7 1  2 2.000	1.072	7783.777	2.000	1.822	35385.692	0.400	74.755	2361.180	infeasible
c3 7 2  2 0.000	1.088	3949.695	2.000	1.819	9624.524	0.400	74.755	322.960	infeasible
c3 7 3  2 0.000	1.143	2767.545	1.000	1.868	6871.539	0.400	74.755	54.900	infeasible
c4 8 4  2 0.500	1.009	2055.788	1.000	2.036	7194.005	0.400	80.843	10000.030	time_out
c5 4 1  2 1.500	1.026	4306.031	1.000	1.918	8555.209	0.400	51.954	0.020	infeasible
c5 4 2  2 0.500	1.122	2353.078	0.500	2.079	2990.502	0.400	51.954	0.020	infeasible
c1 5 1  3 1.500	1.054	5862.493	1.500	1.966	16654.977	0.400	60.615	10.440	infeasible
c1 5 2  3 0.000	1.159	3223.783	0.500	2.136	5774.066	0.400	60.615	5.890	infeasible
c2 6 3  3 0.500	1.013	2001.908	1.000	1.932	4568.512	0.400	69.328	290.730	infeasible
c3 7 1  3 2.000	1.072	7783.777	2.000	1.822	35385.692	0.400	74.755	10000.030	time_out
c3 7 2  3 0.000	1.088	3949.695	2.000	1.819	9624.524	0.400	74.755	10000.020	time_out
c3 7 3  3 0.000	1.143	2767.545	1.000	1.868	6871.539	0.400	74.755	348.300	infeasible
c5 4 1  3 1.500	1.026	4306.031	1.000	1.918	8555.209	0.400	51.954	0.030	infeasible
c5 4 2  3 0.500	1.122	2353.078	0.500	2.079	2990.502	0.400	51.954	0.030	infeasible
c1 5 1  4 1.500	1.054	5862.493	1.500	1.966	16654.977	0.400	60.615	16.720	infeasible
c1 5 2  4 0.000	1.159	3223.783	0.500	2.136	5774.066	0.400	60.615	8.340	infeasible
c3 7 1  4 2.000	1.072	7783.777	2.000	1.822	35385.692	0.400	74.755	10000.030	time_out
c3 7 2  4 0.000	1.088	3949.695	2.000	1.819	9624.524	0.400	74.755	1097.710	infeasible
c3 7 3  4 0.000	1.143	2767.545	1.000	1.868	6871.539	0.400	74.755	5669.200	infeasible
c5 4 1  4 1.500	1.026	4306.031	1.000	1.918	8555.209	0.400	51.954	0.030	infeasible
c5 4 2  4 0.500	1.122	2353.078	0.500	2.079	2990.502	0.400	51.954	0.030	infeasible
c1 5 1  5 1.500	1.054	5862.493	1.500	1.966	16654.977	0.400	60.615	27.100	infeasible
