SR T Gl W HmDs	HmUBp	HmaxUB  	TrDs	TrUBp	TrUB    	TIFgap	LimCIPF	Time	STATUS 	CIPF	TrafRetr	Trancpt	CustTotal	Cong
bk 5 1  1 1.000	1.982	17636.357	1.000	1.158	51436.728	0.400	103.377	0.090	SUCCESS	51.349	50965.029	5.000	51016.378	17622.853
c4 8 1  1 2.000	1.102	8984.199	2.500	1.904	51115.385	0.400	80.843	698.390	SUCCESS	80.427	50806.980	8.000	50887.407	8981.784
bk 5 2  2 0.500	1.446	6433.653	0.500	1.267	18088.045	0.400	103.377	3.890	SUCCESS	72.436	16089.436	10.000	16161.872	6433.653
c2 6 1  2 1.000	1.106	6558.155	1.500	1.903	24600.860	0.400	69.328	98.240	SUCCESS	68.028	24484.238	6.000	24552.266	6523.296
c4 8 2  2 0.000	1.075	4379.452	1.500	1.967	15137.350	0.400	80.843	16.960	SUCCESS	78.646	7975.770	16.000	8054.416	3581.540
c4 8 3  2 0.000	1.130	3071.084	1.000	2.008	9980.912	0.400	80.843	57.540	SUCCESS	79.131	7069.139	16.000	7148.270	3050.470
c2 6 2  3 0.000	1.133	3358.841	1.500	1.809	7092.237	0.400	69.328	9.140	SUCCESS	68.028	5555.526	12.000	5623.554	2730.062
c4 8 4  3 0.500	1.009	2055.788	1.000	2.036	7194.005	0.400	80.843	586.850	SUCCESS	77.017	6590.330	22.000	6667.347	2055.788
c2 6 3  4 0.500	1.013	2001.908	1.000	1.932	4568.512	0.400	69.328	73.540	SUCCESS	68.028	4266.530	16.000	4334.558	2001.908
c3 7 2  3 0.000	1.088	3949.695	2.000	1.819	9624.524	0.300	87.214	214.570	SUCCESS	86.578	7755.250	13.000	7841.828	2960.501
c3 7 3  3 0.000	1.143	2767.545	1.000	1.868	6871.539	0.300	87.214	2859.110	SUCCESS	83.878	6823.874	18.000	6907.752	2767.545
c5 4 1  1 1.500	1.026	4306.031	1.000	1.918	8555.209	0.200	69.272	0.400	SUCCESS	64.760	8545.629	4.000	8610.388	4304.064
c1 5 2  2 0.000	1.159	3223.783	0.500	2.136	5774.066	0.200	80.820	10.850	SUCCESS	78.640	5754.710	9.000	5833.350	3003.430
c5 4 2  2 0.500	1.122	2353.078	0.500	2.079	2990.502	0.200	69.272	0.050	SUCCESS	64.760	232.651	7.000	297.410	1515.257
c3 7 1  1 2.000	1.079	7836.316	2.000	1.850	35938.473	0.300	87.214	37.270	SUCCESS	85.118	35709.301	7.000	35794.419	7821.430
c1 5 1  1 1.500	1.058	5883.275	1.500	1.987	16834.594	0.200	80.820	1.230	SUCCESS	78.640	16634.948	5.000	16713.589	5881.571
bk 5 1  1 1.000	1.998	17774.669	1.000	1.170	51952.304	0.500	86.147	2.110	SUCCESS	58.351	51632.570	5.000	51690.921	17649.170
bk 5 2  2 0.500	1.706	7589.483	0.500	1.373	19592.575	0.500	86.147	2.790	SUCCESS	72.436	17648.056	10.000	17720.492	5904.283
bk 5 1  1 1.000	1.998	17774.669	1.000	1.170	51952.304	0.600	68.918	0.040	SUCCESS	51.349	51084.459	5.000	51135.808	17525.803
bk 5 2  2 0.500	1.706	7589.483	0.500	1.373	19592.575	0.600	68.918	3.400	SUCCESS	67.347	18592.423	9.000	18659.770	7025.630
bk 5 1  1 1.000	1.998	17774.669	1.000	1.170	51952.304	0.700	51.688	1.790	SUCCESS	51.349	50965.029	5.000	51016.378	17622.853
bk 5 2  2 0.500	1.706	7589.483	0.500	1.373	19592.575	0.700	51.688	3.080	SUCCESS	51.349	19063.026	9.000	19114.375	7589.483
